VFD vs Soft Starter Comparison - Motor Startup Simulation
Generated:,2025-10-28 08:22:36
Motor Rating:,800 HP (596.6 kW)
Load Type:,constant_torque

VFD DATA
Time (s),Speed (RPM),Current (A),Torque (Nm),Slip (%),Power In (kW),Power Out (kW),Efficiency (%)
15.956,1712.3,1308.3,3265.9,4.87,787.44,423.82,53.8
15.976,1713.0,1301.1,3249.2,4.83,783.74,424.10,54.1
15.996,1713.6,1294.1,3233.1,4.80,780.18,424.38,54.4
16.016,1714.3,1287.3,3217.6,4.76,776.74,424.65,54.7
16.036,1714.9,1280.8,3202.6,4.73,773.43,424.90,54.9
16.056,1715.5,1274.5,3188.1,4.69,770.24,425.15,55.2
16.076,1716.1,1268.4,3174.2,4.66,767.17,425.40,55.5
16.096,1716.6,1262.5,3160.8,4.63,764.20,425.63,55.7
16.116,1717.2,1256.7,3147.8,4.60,761.35,425.86,55.9
16.136,1717.7,1251.2,3135.4,4.57,758.60,426.08,56.2
16.156,1718.2,1245.8,3123.4,4.54,755.96,426.30,56.4
16.176,1718.7,1240.6,3111.8,4.52,753.41,426.50,56.6
16.196,1719.2,1235.6,3100.7,4.49,750.97,426.70,56.8
16.216,1719.7,1230.7,3090.0,4.46,748.61,426.90,57.0
16.236,1720.1,1226.0,3079.7,4.44,746.34,427.09,57.2
16.256,1720.5,1221.4,3069.8,4.41,744.16,427.27,57.4
16.276,1721.0,1217.0,3060.3,4.39,742.06,427.45,57.6
16.296,1721.4,1212.7,3051.1,4.37,740.05,427.62,57.8
16.316,1721.8,1208.6,3042.3,4.35,738.11,427.79,58.0
16.336,1722.2,1204.5,3033.8,4.32,736.25,427.95,58.1
16.356,1722.5,1200.6,3025.7,4.30,734.46,428.11,58.3
16.376,1722.9,1196.9,3017.8,4.28,732.74,428.27,58.4
16.396,1723.3,1193.2,3010.3,4.26,731.08,428.42,58.6
16.416,1723.6,1189.7,3003.1,4.24,729.50,428.56,58.7
16.436,1723.9,1186.2,2996.1,4.23,727.97,428.70,58.9
16.456,1724.3,1182.9,2989.5,4.21,726.51,428.84,59.0
16.476,1724.6,1179.7,2983.1,4.19,725.10,428.97,59.2
16.496,1724.9,1176.5,2976.9,4.17,723.75,429.11,59.3
16.517,1725.2,1173.5,2971.0,4.16,722.45,429.23,59.4
16.537,1725.5,1170.5,2965.3,4.14,721.21,429.36,59.5
16.557,1725.8,1167.7,2959.9,4.12,720.01,429.48,59.6
16.577,1726.1,1164.9,2954.6,4.11,718.87,429.59,59.8
16.597,1726.3,1162.2,2949.6,4.09,717.77,429.71,59.9
16.617,1726.6,1159.5,2944.8,4.08,716.71,429.82,60.0
16.637,1726.9,1157.0,2940.2,4.06,715.70,429.93,60.1
16.657,1727.1,1154.5,2935.7,4.05,714.72,430.04,60.2
16.677,1727.4,1152.1,2931.5,4.04,713.79,430.14,60.3
16.697,1727.6,1149.7,2927.4,4.02,712.90,430.24,60.4
16.717,1727.8,1147.4,2923.5,4.01,712.04,430.34,60.4
16.737,1728.1,1145.2,2919.7,4.00,711.22,430.44,60.5
16.757,1728.3,1143.0,2916.1,3.98,710.43,430.53,60.6
16.777,1728.5,1140.9,2912.7,3.97,709.67,430.63,60.7
16.797,1728.7,1138.8,2909.4,3.96,708.95,430.72,60.8
16.817,1728.9,1136.8,2906.2,3.95,708.25,430.81,60.8
16.837,1729.2,1134.8,2903.1,3.94,707.58,430.90,60.9
16.857,1729.4,1132.9,2900.2,3.92,706.94,430.98,61.0
16.877,1729.6,1131.0,2897.4,3.91,706.33,431.07,61.0
16.897,1729.8,1129.2,2894.7,3.90,705.74,431.15,61.1
16.917,1729.9,1127.4,2892.1,3.89,705.18,431.23,61.2
16.937,1730.1,1125.7,2889.7,3.88,704.64,431.31,61.2
16.957,1730.3,1124.0,2887.3,3.87,704.12,431.39,61.3
16.977,1730.5,1122.3,2885.0,3.86,703.62,431.46,61.3
16.997,1730.7,1120.7,2882.9,3.85,703.15,431.54,61.4
17.017,1730.9,1119.1,2880.8,3.84,702.69,431.61,61.4
17.037,1731.0,1117.5,2878.8,3.83,702.25,431.69,61.5
17.057,1731.2,1115.9,2876.9,3.82,701.84,431.76,61.5
17.077,1731.4,1114.4,2875.0,3.81,701.43,431.83,61.6
17.097,1731.5,1113.0,2873.3,3.80,701.05,431.90,61.6
17.117,1731.7,1111.5,2871.6,3.79,700.68,431.97,61.6
17.137,1731.9,1110.1,2870.0,3.79,700.33,432.04,61.7
17.157,1732.0,1108.7,2868.4,3.78,699.99,432.10,61.7
17.177,1732.2,1107.3,2866.9,3.77,699.66,432.17,61.8
17.197,1732.3,1105.9,2865.5,3.76,699.35,432.23,61.8
17.217,1732.5,1104.6,2864.1,3.75,699.05,432.30,61.8
17.237,1732.6,1103.3,2862.8,3.74,698.77,432.36,61.9
17.257,1732.8,1102.0,2861.6,3.73,698.49,432.42,61.9
17.277,1732.9,1100.8,2860.4,3.73,698.23,432.49,61.9
17.297,1733.1,1099.5,2859.2,3.72,697.98,432.55,62.0
17.317,1733.2,1098.3,2858.1,3.71,697.73,432.61,62.0
17.337,1733.4,1097.1,2857.0,3.70,697.50,432.67,62.0
17.357,1733.5,1095.9,2856.0,3.69,697.28,432.73,62.1
17.377,1733.6,1094.7,2855.0,3.69,697.07,432.78,62.1
17.397,1733.8,1093.5,2854.1,3.68,696.86,432.84,62.1
17.417,1733.9,1092.4,2853.2,3.67,696.67,432.90,62.1
17.437,1734.0,1091.2,2852.3,3.66,696.48,432.96,62.2
17.457,1734.2,1090.1,2851.5,3.66,696.30,433.01,62.2
17.477,1734.3,1089.0,2850.7,3.65,696.12,433.07,62.2
17.497,1734.4,1087.9,2850.0,3.64,695.96,433.12,62.2
17.518,1734.6,1086.8,2849.2,3.64,695.80,433.18,62.3
17.538,1734.7,1085.7,2848.5,3.63,695.64,433.23,62.3
17.558,1734.8,1084.7,2847.8,3.62,695.50,433.29,62.3
17.578,1734.9,1083.6,2847.2,3.61,695.35,433.34,62.3
17.598,1735.1,1082.6,2846.6,3.61,695.22,433.39,62.3
17.618,1735.2,1081.6,2846.0,3.60,695.09,433.45,62.4
17.638,1735.3,1080.5,2845.4,3.59,694.96,433.50,62.4
17.658,1735.4,1079.5,2844.8,3.59,694.84,433.55,62.4
17.678,1735.6,1078.5,2844.3,3.58,694.72,433.60,62.4
17.698,1735.7,1077.5,2843.8,3.57,694.61,433.65,62.4
17.718,1735.8,1076.5,2843.3,3.57,694.51,433.70,62.4
17.738,1735.9,1075.6,2842.8,3.56,694.40,433.75,62.5
17.758,1736.0,1074.6,2842.4,3.55,694.30,433.80,62.5
17.778,1736.2,1073.6,2841.9,3.55,694.21,433.85,62.5
17.798,1736.3,1072.7,2841.5,3.54,694.11,433.90,62.5
17.818,1736.4,1071.7,2841.1,3.53,694.03,433.95,62.5
17.838,1736.5,1070.8,2840.7,3.53,693.94,434.00,62.5
17.858,1736.6,1069.8,2840.3,3.52,693.86,434.05,62.6
17.878,1736.7,1068.9,2840.0,3.51,693.78,434.10,62.6
17.898,1736.8,1068.0,2839.6,3.51,693.70,434.14,62.6
17.918,1737.0,1067.1,2839.3,3.50,693.63,434.19,62.6
17.938,1737.1,1066.1,2839.0,3.50,693.56,434.24,62.6
17.958,1737.2,1065.2,2838.7,3.49,693.49,434.29,62.6
17.978,1737.3,1064.3,2838.3,3.48,693.42,434.33,62.6
17.998,1737.4,1063.4,2838.0,3.48,693.36,434.38,62.6
18.018,1737.5,1062.5,2837.8,3.47,693.29,434.43,62.7
18.038,1737.6,1061.6,2837.5,3.47,693.23,434.47,62.7
18.058,1737.7,1060.7,2837.2,3.46,693.17,434.52,62.7
18.078,1737.8,1059.9,2837.0,3.45,693.12,434.57,62.7
18.098,1738.0,1059.0,2836.7,3.45,693.06,434.61,62.7
18.118,1738.1,1058.1,2836.5,3.44,693.01,434.66,62.7
18.138,1738.2,1057.2,2836.2,3.43,692.96,434.70,62.7
18.158,1738.3,1056.4,2836.0,3.43,692.91,434.75,62.7
18.178,1738.4,1055.5,2835.8,3.42,692.86,434.79,62.8
18.198,1738.5,1054.6,2835.6,3.42,692.81,434.84,62.8
18.218,1738.6,1053.8,2835.4,3.41,692.77,434.88,62.8
18.238,1738.7,1052.9,2835.2,3.41,692.73,434.93,62.8
18.258,1738.8,1052.1,2835.0,3.40,692.68,434.97,62.8
18.278,1738.9,1051.2,2834.8,3.39,692.64,435.02,62.8
18.298,1739.0,1050.4,2834.6,3.39,692.60,435.06,62.8
18.318,1739.1,1049.5,2834.4,3.38,692.56,435.10,62.8
18.338,1739.2,1048.7,2834.2,3.38,692.52,435.15,62.8
18.358,1739.3,1047.9,2834.1,3.37,692.48,435.19,62.8
18.378,1739.4,1047.0,2833.9,3.37,692.45,435.23,62.9
18.398,1739.5,1046.2,2833.7,3.36,692.41,435.28,62.9
18.418,1739.6,1045.4,2833.6,3.35,692.38,435.32,62.9
18.438,1739.7,1044.6,2833.4,3.35,692.34,435.36,62.9
18.458,1739.8,1043.7,2833.3,3.34,692.31,435.41,62.9
18.478,1739.9,1042.9,2833.1,3.34,692.28,435.45,62.9
18.498,1740.0,1042.1,2833.0,3.33,692.25,435.49,62.9
18.519,1740.1,1041.3,2832.8,3.33,692.22,435.53,62.9
18.539,1740.2,1040.5,2832.7,3.32,692.19,435.58,62.9
18.559,1740.3,1039.6,2832.6,3.31,692.16,435.62,62.9
18.579,1740.4,1038.8,2832.4,3.31,692.13,435.66,62.9
18.599,1740.5,1038.0,2832.3,3.30,692.10,435.70,63.0
18.619,1740.6,1037.2,2832.2,3.30,692.07,435.74,63.0
18.639,1740.7,1036.4,2832.0,3.29,692.04,435.79,63.0
18.659,1740.8,1035.6,2831.9,3.29,692.02,435.83,63.0
18.679,1740.9,1034.8,2831.8,3.28,691.99,435.87,63.0
18.699,1741.0,1034.0,2831.7,3.28,691.96,435.91,63.0
18.719,1741.1,1033.2,2831.6,3.27,691.94,435.95,63.0
18.739,1741.2,1032.4,2831.4,3.27,691.91,435.99,63.0
18.759,1741.3,1031.6,2831.3,3.26,691.89,436.03,63.0
18.779,1741.4,1030.8,2831.2,3.26,691.87,436.07,63.0
18.799,1741.5,1030.1,2831.1,3.25,691.84,436.11,63.0
18.819,1741.6,1029.3,2831.0,3.24,691.82,436.15,63.0
18.839,1741.7,1028.5,2830.9,3.24,691.79,436.19,63.1
18.859,1741.8,1027.7,2830.8,3.23,691.77,436.23,63.1
18.879,1741.9,1026.9,2830.7,3.23,691.75,436.27,63.1
18.899,1742.0,1026.1,2830.6,3.22,691.73,436.31,63.1
18.919,1742.1,1025.4,2830.5,3.22,691.71,436.35,63.1
18.939,1742.2,1024.6,2830.4,3.21,691.68,436.39,63.1
18.959,1742.3,1023.8,2830.3,3.21,691.66,436.43,63.1
18.979,1742.3,1023.0,2830.2,3.20,691.64,436.47,63.1
18.999,1742.4,1022.2,2830.1,3.20,691.62,436.51,63.1
19.019,1742.5,1021.5,2830.0,3.19,691.60,436.55,63.1
19.039,1742.6,1020.7,2829.9,3.19,691.58,436.59,63.1
19.059,1742.7,1019.9,2829.8,3.18,691.56,436.63,63.1
19.079,1742.8,1019.2,2829.7,3.18,691.54,436.67,63.1
19.099,1742.9,1018.4,2829.7,3.17,691.52,436.71,63.2
19.119,1743.0,1017.6,2829.6,3.17,691.50,436.75,63.2
19.139,1743.1,1016.9,2829.5,3.16,691.48,436.79,63.2
19.159,1743.2,1016.1,2829.4,3.16,691.47,436.83,63.2
19.179,1743.3,1015.4,2829.3,3.15,691.45,436.86,63.2
19.199,1743.4,1014.6,2829.2,3.15,691.43,436.90,63.2
19.219,1743.4,1013.8,2829.1,3.14,691.41,436.94,63.2
19.239,1743.5,1013.1,2829.1,3.14,691.39,436.98,63.2
19.259,1743.6,1012.3,2829.0,3.13,691.37,437.02,63.2
19.279,1743.7,1011.6,2828.9,3.13,691.36,437.05,63.2
19.299,1743.8,1010.8,2828.8,3.12,691.34,437.09,63.2
19.319,1743.9,1010.1,2828.7,3.12,691.32,437.13,63.2
19.339,1744.0,1009.3,2828.7,3.11,691.30,437.17,63.2
19.359,1744.1,1008.6,2828.6,3.11,691.29,437.21,63.2
19.379,1744.2,1007.8,2828.5,3.10,691.27,437.24,63.3
19.399,1744.2,1007.1,2828.4,3.10,691.25,437.28,63.3
19.419,1744.3,1006.3,2828.3,3.09,691.24,437.32,63.3
19.439,1744.4,1005.6,2828.3,3.09,691.22,437.36,63.3
19.459,1744.5,1004.8,2828.2,3.08,691.20,437.39,63.3
19.479,1744.6,1004.1,2828.1,3.08,691.19,437.43,63.3
19.499,1744.7,1003.4,2828.0,3.07,691.17,437.47,63.3
19.520,1744.8,1002.6,2828.0,3.07,691.15,437.50,63.3
19.540,1744.9,1001.9,2827.9,3.06,691.14,437.54,63.3
19.560,1744.9,1001.2,2827.8,3.06,691.12,437.58,63.3
19.580,1745.0,1000.4,2827.7,3.05,691.11,437.61,63.3
19.600,1745.1,999.7,2827.7,3.05,691.09,437.65,63.3
19.620,1745.2,999.0,2827.6,3.04,691.08,437.69,63.3
19.640,1745.3,998.2,2827.5,3.04,691.06,437.72,63.3
19.660,1745.4,997.5,2827.5,3.03,691.04,437.76,63.3
19.680,1745.5,996.8,2827.4,3.03,691.03,437.80,63.4
19.700,1745.5,996.0,2827.3,3.03,691.01,437.83,63.4
19.720,1745.6,995.3,2827.3,3.02,691.00,437.87,63.4
19.740,1745.7,994.6,2827.2,3.02,690.98,437.90,63.4
19.760,1745.8,993.9,2827.1,3.01,690.97,437.94,63.4
19.780,1745.9,993.1,2827.1,3.01,690.95,437.97,63.4
19.800,1746.0,992.4,2827.0,3.00,690.94,438.01,63.4
19.820,1746.1,991.7,2826.9,3.00,690.93,438.05,63.4
19.840,1746.1,991.0,2826.9,2.99,690.91,438.08,63.4
19.860,1746.2,990.3,2826.8,2.99,690.90,438.12,63.4
19.880,1746.3,989.5,2826.7,2.98,690.88,438.15,63.4
19.900,1746.4,988.8,2826.7,2.98,690.87,438.19,63.4
19.920,1746.5,988.1,2826.6,2.97,690.85,438.22,63.4
19.940,1746.5,987.4,2826.5,2.97,690.84,438.26,63.4
19.960,1746.6,986.7,2826.5,2.97,690.83,438.29,63.4
19.980,1746.7,986.0,2826.4,2.96,690.81,438.33,63.5
20.000,1746.8,821.0,2826.3,2.96,575.67,438.36,76.1
